Name,Price,Liquor Type
SAINT ANNA SWEET WHITE 1.5 LITRES(8%),"KSh2,050.00",Wine
LIQUID GOLD PROSECCO 750ML(11%),"KSh2,050.00",Wine
GRAN VERANO CHARDONNAY DRY WHITE 1.5LTRS(13%),"KSh2,000.00",Wine
ALAMOS MALBEC 750ML(13.5%),"KSh2,000.00",Wine
BOLAND CELLAR SIXTY FORTY 750ML(13.5%),"KSh2,000.00",Wine
KESSLER ZINK RIESLING AUSLESE 750ML(14.5%),"KSh2,000.00",Wine
ARGENTO MALBEC SELECCION RED 750ML(13%),"KSh2,000.00",Wine
TERRA LINDA SYRAH RED 750ML(14%),"KSh2,000.00",Wine
MUCHO MÁS ROSE 750ML (13%),"KSh2,000.00",Wine
SIMONSIG ADELBERG CABERNET SAUVIGNON MERLOT DRY 750ML(13.7%),"KSh2,000.00",Wine
BOLAND CELLAR FIVE CLIMATES  CABERNET SAUVIGNON 2018 750ML(13.5%),"KSh2,000.00",Wine
ALAMOS CHARDONNAY 2021 750ML(13.5%),"KSh2,000.00",Wine
LABORIE MERLOT 750ML(14.37%),"KSh2,000.00",Wine
CANTI PROSECCO 750ML(11%),"KSh2,000.00",Wine
GRAN VERANO MERLOT 1.5L(5%),"KSh2,000.00",Wine
4TH STREET SWEET RED 1.5LTR(8%),"KSh1,970.00",Wine
TRIVENTO RESERVE MALBEC 750ML (13%),"KSh1,950.00",Wine
CASILLERO CARMENERE 750ML(13.5%),"KSh1,950.00",Wine
KWV CAPE RUBY 750ML(17.5%),"KSh1,950.00",Wine
MOUTON CADET BORDEAUX ROUGE 750ML(13%),"KSh1,950.00",Wine
4TH STREET ROSE 1.5LTRS(8%),"KSh1,910.00",Wine
ASCONI PASTROL 750 ML(16%),"KSh1,900.00",Wine
PENASOL SANGRIA 1.5LTRS(7%),"KSh1,900.00",Wine
MAISON CASTEL CUVEE BLANCHE BRUT 750ML (11%),"KSh1,900.00",Wine
ITINERA PROSECCO DOC BRUT 2020 750ML(11%),"KSh1,900.00",Wine
MAISON CASTEL ICE CUVEE BLANCHE 750ML (11%),"KSh1,900.00",Wine
FRAGOLINO ROSE(C&B) 750ML(7%),"KSh1,900.00",Wine
DURBANVILLE HILLS SHIRAZ 750ML(14.5%),"KSh1,890.00",Wine
DURBANVILLE HILLS CHARDONNAY 750ML(13.5%),"KSh1,890.00",Wine
NEDERBURG 5600 CAB SAUV 750ML(14%),"KSh1,890.00",Wine
DURBANVILLE HILLS CABERNET SAUVIGNON 750ML(14%),"KSh1,890.00",Wine
DURBANVILLE MERLOT 750ML(14.5%),"KSh2,100.00",Wine
DURBANVILLE HILLS PINOTAGE 750ML(14.5%),"KSh1,890.00",Wine
DURBANVILLE HILLS SAUVIGNON BLANC 750ML(13.5%),"KSh2,100.00",Wine
ANGOVE ORGANIC SHIRAZ CABERNET SAUVIGNON 750ML(14.5%),"KSh1,880.00",Wine
PAVILLION BOSCHENDAL ROSE 750ML(13%),"KSh1,850.00",Wine
ARTESANO ORGANIC MALBEC RED 750ML(13%),"KSh1,850.00",Wine
BERONIA CRIANZA RIOJA 750ML(13.5%),"KSh1,850.00",Wine
TRUMPETER RESERVE BLEND 750ML(13.2%),"KSh1,850.00",Wine
LINDEMAN’S SWEET RED 750ML(13.5%),"KSh1,800.00",Wine
FOUR COUSINS DRY RED 1.5LTRS(13%),"KSh1,800.00",Wine
THE BEACH HOUSE ROSE 750ML(12.5%),"KSh1,800.00",Wine
FOUR COUSINS DRY WHITE 1.5LTRS(9%),"KSh1,800.00",Wine
THE GUV’NOR RED 750ML(12.5%),"KSh1,800.00",Wine
NEDERBURG BARONNE 750ML(14%),"KSh1,800.00",Wine
JACOB’S CREEK SPARKLING ROSÉ 750ML(12.5%),"KSh1,800.00",Wine
NEDERBURG SAUVIGNON BLANC 750ML(13%),"KSh1,800.00",Wine
PAVILLION BOSCHENDAL CHENIN BLANC 750ML(13.5%),"KSh1,800.00",Wine
MUCHO MÁS WHITE 750ML (12.5%),"KSh2,000.00",Wine
BOLAND CABERNET SAUVIGNON SHIRAZ 750ML,"KSh1,800.00",Wine
BAREFOOT CABERNET SAUVIGNON 750ML(14%),"KSh1,800.00",Wine
ROBERTSON NATURAL SWEET ROSE 1.5LTRS(7%),"KSh1,800.00",Wine
ZAPALLAR PINOT NOIR 750 ML(13%),"KSh1,800.00",Wine
ZAPALLARES SAUVIGNON BLANC 1.5LTRS(12.5%),"KSh1,800.00",Wine
DOUGLAS GREEN CABERNET SAUVIGNON 750ML(13.5%),"KSh1,800.00",Wine
DOUGLAS GREEN MERLOT 750ML(14%),"KSh1,800.00",Wine
35 SOUTH SAUVIGNON BLANC 750ML(13%),"KSh1,800.00",Wine
MALAN CAPE BLANC DRY WHITE 750ML(12.5%),"KSh2,200.00",Wine
ZONIN MONTEPULCIANO DABRUZZO 750ML(13%),"KSh1,800.00",Wine
BAREFOOT MERLOT 750ML(13%),"KSh1,800.00",Wine
FOUR COUSINS SWEET WHITE 1.5LTRS(7.5%),"KSh1,800.00",Wine
ANGELO PINOT GRIGIO 750ML(12%),"KSh1,800.00",Wine
35 SOUTH CABERNET SAUVIGNON 750ML(13.5%),"KSh1,800.00",Wine
KISS ME NOW MERLOT 750ML(11%),"KSh1,780.00",Wine
KAGOR LUX SWEET RED 750ML(12%),"KSh1,780.00",Wine
CASILLERO PINOT NIOR 750ML(13.5%),"KSh1,780.00",Wine
ARBOR MIST CHARDONNAY 750ML(6%),"KSh1,750.00",Wine
MOSKETTO ROSSO RED 750ML(5.5%),"KSh1,750.00",Wine
MOSKETTO BIANCO WHITE 750ML(5%),"KSh1,750.00",Wine
EFRAT ZINFANDEL SEMI-SWEET BLUSH(ORGANIC WINE) 750ML(9.5%),"KSh1,750.00",Wine
NEDERBURG CHARDONNAY 750ML(14%),"KSh1,750.00",Wine
MARTINI BIANCO SWEET WHITE 750ML(15%),"KSh1,750.00",Wine
KWV CAPE TAWNY 750ML(17.5%),"KSh1,750.00",Wine
ARBOR MIST STRAWBERRY 750ML(6%),"KSh1,750.00",Wine
CHOCO TOFFEE 750ML(10%),"KSh1,750.00",Wine
CHOCO SECCO 750ML(5.5%),"KSh1,750.00",Wine
ANGELO NERO D’AVOLA SICILIA 750ML(13%),"KSh1,750.00",Wine
ARBOR MIST MERLOT BLACKBERRY 750ML(6%),"KSh1,750.00",Wine
KISS ME NOW CABERNET SAUVIGNON 750ML(11%),"KSh1,700.00",Wine
ARBOR MIST ZINFANDEL SWEET ROSE 750ML (6%),"KSh1,700.00",Wine
JC LE ROUX FLEURETTE 750ML(7.5%),"KSh1,700.00",Wine
ASCONI MOSCATO SWEET WHITE 750ML(7%),"KSh1,700.00",Wine
THE BEACH HOUSE SAUVIGNON BLANC(13%),"KSh1,700.00",Wine
CAMPO VIEJO RIOJA TEMPARANILLO 750ML(13%),"KSh1,700.00",Wine
1659 SAUVIGNON BLANC 750ML(13%),"KSh1,700.00",Wine
ARGENTO SELECCION CHARDONNAY WHITE 750ML(13%),"KSh1,700.00",Wine
JP CHENET MERLOT 750ML (13%),"KSh1,700.00",Wine
DUCHESSALIA MOSCATO D’ASTI 750ML(5.5%),"KSh1,700.00",Wine
ROOIBERG RED MUSCADEL 750ML(16.5%),"KSh1,700.00",Wine
JC LE ROUX LE DOMAINE 750ML(7.5%),"KSh1,700.00",Wine
GRAN CASTILLO VIURA MOSCATEL 750ML(11%),"KSh1,700.00",Wine
